id,lyric,album,image,song
1,,"""The College Dropout""","""assets/tcd.jpeg""",
2,,"""The College Dropout""","""assets/tcd.jpeg""",
3,,"""The College Dropout""","""assets/tcd.jpeg""",
4,,"""The College Dropout""","""assets/tcd.jpeg""",
5,,"""The College Dropout""","""assets/tcd.jpeg""",
6,,"""Late Registration""","""assets/lr.jpeg""",
7,,"""Late Registration""","""assets/lr.jpeg""",
8,,"""Late Registration""","""assets/lr.jpeg""",
9,,"""Late Registration""","""assets/lr.jpeg""",
10,,"""Late Registration""","""assets/lr.jpeg""",
11,,"""Graduation""","""assets/grad.jpeg""",
12,,"""Graduation""","""assets/grad.jpeg""",
13,,"""Graduation""","""assets/grad.jpeg""",
14,,"""Graduation""","""assets/grad.jpeg""",
15,,"""Graduation""","""assets/grad.jpeg""",
16,,"""808s & Heartbreak""","""assets/808.png""",
17,,"""808s & Heartbreak""","""assets/808.png""",
18,,"""808s & Heartbreak""","""assets/808.png""",
19,,"""808s & Heartbreak""","""assets/808.png""",
20,,"""808s & Heartbreak""","""assets/808.png""",
21,,"""My Beautiful Dark Twisted Fantasy""","""assets/mbdtf.jpeg""",
22,,"""My Beautiful Dark Twisted Fantasy""","""assets/mbdtf.jpeg""",
23,,"""My Beautiful Dark Twisted Fantasy""","""assets/mbdtf.jpeg""",
24,,"""My Beautiful Dark Twisted Fantasy""","""assets/mbdtf.jpeg""",
25,,"""My Beautiful Dark Twisted Fantasy""","""assets/mbdtf.jpeg""",
26,,"""The Life of Pablo""","""assets/tlop.jpeg""",
27,,"""The Life of Pablo""","""assets/tlop.jpeg""",
28,,"""The Life of Pablo""","""assets/tlop.jpeg""",
29,,"""The Life of Pablo""","""assets/tlop.jpeg""",
30,,"""The Life of Pablo""","""assets/tlop.jpeg""",
31,,"""Donda""","""assets/donda.png""",
32,,"""Donda""","""assets/donda.png""",
33,,"""Donda""","""assets/donda.png""",
34,,"""Donda""","""assets/donda.png""",
35,,"""Donda""","""assets/donda.png""",
